id,contentLength,ari,colemanIndex,fleschKincaid,fleschReading,gunningFox,smog,sentenceCount,wordCount,nTag,perplexity,loc,hasAnswer,hasCode
23948113,306,5.287,6.231,5.836,79.938,6.8,6.742,5,75,2,0,5,f,t
23948114,379,4.661,5.302,5.696,84.209,7.6,7.794,6,101,2,0,13,t,t
23948120,238,1.119,4.369,4.013,77.77,6.4,7.794,9,58,4,0,6,f,t
23948123,296,9.743,6.76,10.135,66.331,11.2,8.842,3,74,5,0,6,t,t
23948134,303,5.256,6.317,5.65,80.918,7.6,8.239,5,74,2,0,4,f,t
23948126,216,11.268,8.146,10.782,63.176,12.8,11.208,2,51,4,0,4,f,t
23948127,98,2.472,6.297,4.843,73.992,4.4,6.427,3,23,1,0,8,t,t
23948129,596,9.916,7.081,10.26,65.139,13.2,11.855,6,147,5,0,2,f,f
23948130,601,22.036,12.294,18.677,35.962,22,16.728,3,126,4,0,8,t,t
23948133,216,6.41,6.76,7.6,72.632,9.2,8.842,3,54,2,0,9,f,t
23948135,234,25.811,17.016,22.423,9.105,24.4,19.287,1,42,3,0,2,f,f
23948141,154,2.408,5.07,4.883,76.971,8.8,9.516,4,38,2,0,7,f,t
23948142,150,4.589,7.443,6.154,71.719,8.8,9.726,3,35,5,0,10,f,t
23948152,260,13.98,8.723,14.007,48.075,18.4,15.903,2,60,4,0,2,f,f
23948143,293,16.571,11.963,15.383,38.205,17.2,14.555,2,60,3,0,13,f,t
23948144,252,14.808,12.886,13.984,39.332,18.8,16.527,2,50,3,0,4,f,t
23948145,200,22.048,9.809,20.563,29.567,23.6,17.122,1,46,4,0,11,t,t
23948146,550,20.453,13.65,18.126,30.413,19.6,15.903,3,110,4,0,6,t,t
23948147,387,7.583,7.976,10.056,55.742,12.8,12.341,5,92,4,0,17,t,t
23948159,132,14.125,9.28,14.01,49.835,17.2,14.555,1,31,2,0,8,t,t
23948161,273,29.739,11.924,25.137,18.148,28,18.244,1,58,1,0,2,f,f
23948162,669,12.384,10.375,13.122,44.029,15.6,14.314,6,145,3,0,17,f,t
23948167,771,4.824,7.57,6.467,69.949,8,9.211,15,179,5,0,4,t,t
23948172,183,20.409,7.133,17.553,52.93,18.8,3.129,1,47,2,0,2,f,f
23948176,423,15.789,11.194,14.807,41.744,16.4,14.068,3,89,1,0,2,f,f
23948177,168,18.393,10.24,16.309,45.818,18,13.024,1,38,1,0,5,f,t
23948178,260,8.812,8.305,8.976,66.925,10.4,9.726,3,61,5,0,4,t,t
23948180,349,19.184,8.102,17.233,48.095,20.4,13.817,2,86,2,0,6,f,t
23948185,251,13.138,8.045,13.248,55.293,15.6,12.162,2,62,4,0,10,f,t
23948188,1293,20.296,10.922,18.63,34.009,21.6,17.122,7,285,4,0,25,t,t
23948189,248,6.429,8.284,7.57,65.725,10.4,10.686,4,56,2,0,5,f,t
23948194,174,19.084,10.478,17.774,37.096,18.4,13.024,1,39,2,0,6,f,t
23948196,235,26.451,19.691,21.405,11.065,25.6,21.194,1,39,3,0,2,f,f
23948198,241,26.399,11.498,23.071,22.274,26.8,19.287,1,52,1,0,2,f,f
23948201,244,6.092,7.864,6.727,71.768,8.8,9.516,4,56,3,0,7,f,t
23948202,419,8.844,9.178,10.203,55.752,12,11.602,5,95,1,0,6,t,t
23948204,309,7.487,7.795,8.209,69.16,11.2,11.208,4,74,2,0,9,f,t
23948208,539,14.676,10.437,13.859,49.581,14.4,11.208,4,121,5,0,38,f,t
23948210,571,17.017,1.016,17.893,55.834,20.8,9.516,4,200,4,0,4,f,t
23948219,67,8.111,10.388,9.256,53.639,14,13.024,1,14,2,0,6,f,t
23948221,522,7.757,5.006,8.137,78.583,10,7.169,6,141,4,0,8,f,t
23948223,513,6.746,7.181,8.1,69.051,10.8,10.609,7,126,3,0,5,f,t
23948349,231,11.59,5.797,12.054,64.748,15.2,12.162,2,63,4,0,2,t,f
23948227,566,12.02,8.648,11.562,58.831,12.8,10.794,5,131,2,0,14,t,t
23948232,368,4.117,6.019,5.429,79.291,8.4,9.236,7,91,5,0,9,f,t
23949306,249,27.513,10.389,23.739,24.606,24.4,13.024,1,56,4,0,2,f,f
23948236,24,3.678,6.472,0.52,100.24,2,3.129,1,5,1,0,4,f,t
23948237,1065,53.163,16.204,44.303,-48.023,47.6,29.618,2,196,4,0,17,f,t
23948238,182,3.244,6.022,4.006,86.376,6,7.169,4,45,3,0,4,t,t
23948241,338,3.994,4.823,5.282,83.314,7.2,7.794,6,88,3,0,2,f,f
23948242,596,8.769,8.638,9.628,61.151,12.4,12.032,7,138,3,0,4,f,t
23948245,253,7.986,10.857,7.861,61.859,9.6,10.126,4,52,5,0,2,f,f
23981791,1407,22.113,10.425,19.902,32.776,22,15.719,7,316,3,0,33,f,t
23948247,160,7.902,8,8.278,69.555,9.6,8.842,2,38,3,0,8,t,t
23948249,186,21.417,5.268,19.44,48.305,22.8,13.024,1,52,2,0,4,t,t
23948257,184,7.71,10.72,7.982,60.399,10,10.504,3,38,3,0,2,f,f
23948258,343,6.92,8.773,7.6,68.717,10.8,11.208,5,79,4,0,4,f,f
23948262,833,11.502,10.158,11.955,49.871,14.8,14.006,8,182,4,0,4,f,t
23948265,369,20.381,8.349,18.611,41.78,20.8,13.817,2,90,3,0,8,t,t
23948266,133,5.494,6.24,6.311,80.098,7.6,7.169,2,34,1,0,2,f,f
23948267,732,9.778,9.33,9.975,60.282,13.6,13.024,8,165,2,0,9,t,t
23948271,460,6.704,8.004,7.904,65.113,11.2,11.208,7,105,1,0,4,t,t
23948272,969,21.342,12.177,18.196,37.279,19.2,13.663,5,204,3,0,4,t,t
23948273,521,13.696,7.805,13.333,57.36,15.6,12.162,4,130,1,0,4,f,t
23948274,750,9.705,11.159,10.525,50.872,11.2,11.208,9,158,3,0,2,f,f
23948276,197,10.241,8.425,9.797,65.786,11.6,10.126,2,46,4,0,4,f,t
23948278,2132,14.666,10.09,14.213,45.147,17.6,15.248,16,467,3,0,15,f,t
23948281,526,7.994,9.455,8.784,62.108,10.4,10.609,7,118,4,0,4,f,t
23948284,171,7.875,6.091,8.813,71.064,12.4,11.208,2,44,2,0,9,f,t
23948286,269,30.562,8.576,26.098,23.722,28.4,14.555,1,65,3,0,4,f,t
23948305,176,2.616,5.236,5.055,78.856,6.8,8.076,4,45,3,0,6,t,t
23948287,170,7.768,5.957,8.545,72.987,10.4,8.842,2,44,2,0,10,t,t
23948288,480,7.643,7.364,9.261,63.396,10.8,10.504,6,117,1,0,4,t,t
23948321,241,12.269,5.707,12.298,65.667,14.8,10.126,2,66,1,0,2,f,f
23948297,265,13.962,5.011,14.768,55.973,17.2,12.162,2,75,2,0,5,f,t
23948298,166,7.89,7.047,8.81,68.413,10.8,10.126,2,41,2,0,25,f,t
23948299,90,2.232,4.288,4.823,81.855,6.4,7.169,2,24,3,0,7,t,t
23948304,353,6.503,7.376,6.897,76.249,8.4,8.239,5,86,4,0,14,t,t
23948306,818,11.169,9.819,10.706,58.607,13.6,12.816,8,181,4,0,6,f,t
